order,count
o__Acetobacterales,345
o__Azospirillales,62
o__Azospirillales_A,1
o__Caedimonadales,7
o__Caulobacterales,417
o__Defluviicoccales,22
o__Dongiales,4
o__Elsterales,3
o__Ferrovibrionales,4
o__Geminicoccales,5
o__Holosporales,7
o__Kiloniellales,23
o__Micavibrionales,69
o__Micavibrionales_A,3
o__Micavibrionales_B,2
o__Micavibrionales_C,15
o__Minwuiales,3
o__Oceanibaculales,4
o__Paracaedibacterales,6
o__Parvibaculales,55
o__Pelagibacterales,162
o__Puniceispirillales,72
o__Reyranellales,16
o__Rhizobiales,4939
o__Rhizobiales_B,26
o__Rhodobacterales,1244
o__Rhodospirillales,174
o__Rickettsiales,341
o__Sneathiellales,11
o__Sphingomonadales,984
o__Thalassobaculales,25
o__Tistrellales,5
o__Zavarziniales,4
o__16-39-46,2
o__43-37,1
o__ATCC43930,10
o__Bin65,3
o__Bin95,1
o__Bin98,1
o__GCA-002720895,7
o__GCA-2701885,3
o__GCA-2731375,2
o__GCA-2746255,1
o__HIMB59,24
o__MC1,1
o__RF32,63
o__Rs-D84,26
o__SHNJ01,1
o__SMXP01,3
o__SMXQ01,1
o__SP197,2
o__SPJN01,1
o__TMED109,24
o__TMED127,22
o__UBA11136,1
o__UBA11222,1
o__UBA1280,15
o__UBA1301,15
o__UBA2562,1
o__UBA2966,4
o__UBA3830,1
o__UBA6184,1
o__UBA6615,10
o__UBA7879,9
o__UBA7887,8
o__UBA7985,9
o__UBA828,6
o__UBA8366,27
o__UBA8558,5
o__UBA9655,14
