species,count
"s__Bacteroides acidifaciens",6
"s__Bacteroides bouchesdurhonensis",1
"s__Bacteroides caccae",22
"s__Bacteroides caecimuris",3
"s__Bacteroides cellulosilyticus",17
"s__Bacteroides clarus",10
"s__Bacteroides congonensis",2
"s__Bacteroides cutis",3
"s__Bacteroides eggerthii",16
"s__Bacteroides faecichinchillae",3
"s__Bacteroides faecis",11
"s__Bacteroides finegoldii",3
"s__Bacteroides fluxus",1
"s__Bacteroides fragilis",141
"s__Bacteroides fragilis_A",23
"s__Bacteroides gallinarum",2
"s__Bacteroides graminisolvens",8
"s__Bacteroides helcogenes",1
"s__Bacteroides heparinolyticus",4
"s__Bacteroides ihuae",1
"s__Bacteroides intestinalis",14
"s__Bacteroides intestinalis_A",4
"s__Bacteroides luti",1
"s__Bacteroides massiliensis",3
"s__Bacteroides ndongoniae",3
"s__Bacteroides neonati",1
"s__Bacteroides nordii",5
"s__Bacteroides oleiciplenus",2
"s__Bacteroides ovatus",66
"s__Bacteroides pyogenes",3
"s__Bacteroides pyogenes_A",3
"s__Bacteroides reticulotermitis",1
"s__Bacteroides rodentium",1
"s__Bacteroides salyersiae",8
"s__Bacteroides stercorirosoris",5
"s__Bacteroides stercoris",32
"s__Bacteroides thetaiotaomicron",40
"s__Bacteroides timonensis",1
"s__Bacteroides togonis",3
"s__Bacteroides uniformis",104
"s__Bacteroides xylanisolvens",29
"s__Bacteroides zoogleoformans",1
"s__Bacteroides sp002160055",1
"s__Bacteroides sp002293435",1
"s__Bacteroides sp002307035",1
"s__Bacteroides sp002471185",1
"s__Bacteroides sp002471195",1
"s__Bacteroides sp002491635",2
"s__Bacteroides sp003463205",5
"s__Bacteroides sp003545565",4
"s__Bacteroides sp003865075",1
"s__Bacteroides sp007097645",1
"s__Bacteroides sp900066265",5
"s__Bacteroides sp900547205",1
"s__Bacteroides sp900552405",1
"s__Bacteroides sp900553815",1
"s__Bacteroides sp900555635",1
"s__Bacteroides sp900556215",2
"s__Bacteroides sp900556625",1
"s__Bacteroides sp900556625",1
