species,count
"s__Bifidobacterium actinocoloniiforme",3
"s__Bifidobacterium adolescentis",54
"s__Bifidobacterium aemilianum",1
"s__Bifidobacterium aesculapii",1
"s__Bifidobacterium angulatum",5
"s__Bifidobacterium animalis",76
"s__Bifidobacterium anseris",2
"s__Bifidobacterium aquikefiri",1
"s__Bifidobacterium asteroides",4
"s__Bifidobacterium asteroides_A",1
"s__Bifidobacterium asteroides_B",2
"s__Bifidobacterium asteroides_E",3
"s__Bifidobacterium asteroides_F",1
"s__Bifidobacterium asteroides_G",1
"s__Bifidobacterium biavatii",2
"s__Bifidobacterium bifidum",74
"s__Bifidobacterium bohemicum",3
"s__Bifidobacterium bombi",2
"s__Bifidobacterium boum",3
"s__Bifidobacterium breve",103
"s__Bifidobacterium callitrichidarum",1
"s__Bifidobacterium callitrichos",5
"s__Bifidobacterium callitrichos_A",1
"s__Bifidobacterium catenulatum",5
"s__Bifidobacterium catulorum",1
"s__Bifidobacterium choerinum",4
"s__Bifidobacterium coagulans",1
"s__Bifidobacterium commune",1
"s__Bifidobacterium criceti",1
"s__Bifidobacterium crudilactis",1
"s__Bifidobacterium cuniculi",2
"s__Bifidobacterium dentium",14
"s__Bifidobacterium eulemuris",1
"s__Bifidobacterium felsineum",1
"s__Bifidobacterium gallicum",3
"s__Bifidobacterium gallinarum",8
"s__Bifidobacterium globosum",66
"s__Bifidobacterium hapali",1
"s__Bifidobacterium imperatoris",1
"s__Bifidobacterium indicum",6
"s__Bifidobacterium infantis",28
"s__Bifidobacterium italicum",1
"s__Bifidobacterium kashiwanohense",3
"s__Bifidobacterium kashiwanohense_A",1
"s__Bifidobacterium lemurum",2
"s__Bifidobacterium longum",287
"s__Bifidobacterium magnum",3
"s__Bifidobacterium margollesii",1
"s__Bifidobacterium merycicum",4
"s__Bifidobacterium minimum",3
"s__Bifidobacterium mongoliense",3
"s__Bifidobacterium moukalabense",13
"s__Bifidobacterium myosotis",2
"s__Bifidobacterium parmae",1
"s__Bifidobacterium primatium",1
"s__Bifidobacterium pseudocatenulatum",71
"s__Bifidobacterium pseudolongum",9
"s__Bifidobacterium pseudolongum_C",1
"s__Bifidobacterium psychraerophilum",3
"s__Bifidobacterium pullorum",2
"s__Bifidobacterium reuteri",8
"s__Bifidobacterium ruminantium",3
"s__Bifidobacterium saguini",2
"s__Bifidobacterium scaligerum",1
"s__Bifidobacterium scardovii",5
"s__Bifidobacterium simiarum",1
"s__Bifidobacterium stellenboschense",1
"s__Bifidobacterium subtile",3
"s__Bifidobacterium thermophilum",10
"s__Bifidobacterium thermophilum_A",1
"s__Bifidobacterium tissieri",2
"s__Bifidobacterium tsurumiense",3
"s__Bifidobacterium vaginale",44
"s__Bifidobacterium vaginale_A",2
"s__Bifidobacterium vaginale_B",1
"s__Bifidobacterium vaginale_C",4
"s__Bifidobacterium vaginale_D",3
"s__Bifidobacterium vaginale_E",3
"s__Bifidobacterium vaginale_F",1
"s__Bifidobacterium vaginale_G",27
"s__Bifidobacterium vaginale_H",1
"s__Bifidobacterium vansinderenii",1
"s__Bifidobacterium xylocopae",1
"s__Bifidobacterium sp000499185",2
"s__Bifidobacterium sp000499285",1
"s__Bifidobacterium sp002298605",2
"s__Bifidobacterium sp002451435",20
"s__Bifidobacterium sp002742445",4
"s__Bifidobacterium sp002884815",26
"s__Bifidobacterium sp003585735",1
"s__Bifidobacterium sp003585845",1
"s__Bifidobacterium sp003951095",1
"s__Bifidobacterium sp003951975",1
"s__Bifidobacterium sp003952005",1
"s__Bifidobacterium sp003952025",1
"s__Bifidobacterium sp003952945",1
"s__Bifidobacterium sp900551485",1
