species,count
"s__Brevundimonas abyssalis",2
"s__Brevundimonas aveniformis",1
"s__Brevundimonas bacteroides",1
"s__Brevundimonas bullata",1
"s__Brevundimonas diminuta",14
"s__Brevundimonas diminuta_A",1
"s__Brevundimonas diminuta_B",10
"s__Brevundimonas halotolerans",6
"s__Brevundimonas intermedia",1
"s__Brevundimonas mediterranea",6
"s__Brevundimonas naejangsanensis",2
"s__Brevundimonas naejangsanensis_A",5
"s__Brevundimonas naejangsanensis_B",1
"s__Brevundimonas nasdae",1
"s__Brevundimonas subvibrioides",1
"s__Brevundimonas subvibrioides_B",1
"s__Brevundimonas subvibrioides_C",2
"s__Brevundimonas vesicularis",7
"s__Brevundimonas vesicularis_A",1
"s__Brevundimonas viscosa",1
"s__Brevundimonas sp000335735",1
"s__Brevundimonas sp001295975",1
"s__Brevundimonas sp001310255",3
"s__Brevundimonas sp001424025",1
"s__Brevundimonas sp001425945",1
"s__Brevundimonas sp001427825",1
"s__Brevundimonas sp001794825",1
"s__Brevundimonas sp001796045",1
"s__Brevundimonas sp002002865",1
"s__Brevundimonas sp002157625",1
"s__Brevundimonas sp002292165",1
"s__Brevundimonas sp002343425",2
"s__Brevundimonas sp002386585",2
"s__Brevundimonas sp002387245",1
"s__Brevundimonas sp002419815",1
"s__Brevundimonas sp002426005",1
"s__Brevundimonas sp002430835",2
"s__Brevundimonas sp002432125",1
"s__Brevundimonas sp002434505",2
"s__Brevundimonas sp002479325",1
"s__Brevundimonas sp002479495",1
"s__Brevundimonas sp002483305",1
"s__Brevundimonas sp002483865",1
"s__Brevundimonas sp002484265",3
"s__Brevundimonas sp002979535",5
"s__Brevundimonas sp003241825",2
"s__Brevundimonas sp003248455",1
"s__Brevundimonas sp003248925",1
"s__Brevundimonas sp003248965",1
"s__Brevundimonas sp003704105",1
"s__Brevundimonas sp003934285",1
"s__Brevundimonas sp003938605",1
"s__Brevundimonas sp004210735",1
"s__Brevundimonas sp004296955",1
"s__Brevundimonas sp004683885",2
"s__Brevundimonas sp005484585",2
"s__Brevundimonas sp006515835",1
a__Brevundimonas sp006547065",1
