species,count
"s__Campylobacter_D avium",2
"s__Campylobacter_D coli",775
"s__Campylobacter_D coli_A",64
"s__Campylobacter_D coli_B",46
"s__Campylobacter_D concheus",1
"s__Campylobacter_D cuniculorum",2
"s__Campylobacter_D helveticus",12
"s__Campylobacter_D hepaticus",16
"s__Campylobacter_D insulaenigrae",3
"s__Campylobacter_D jejuni",1588
"s__Campylobacter_D jejuni_A",1
"s__Campylobacter_D jejuni_B",1
"s__Campylobacter_D jejuni_C",1
"s__Campylobacter_D lari",6
"s__Campylobacter_D lari_C",11
"s__Campylobacter_D lari_D",1
"s__Campylobacter_D ornithocola",1
"s__Campylobacter_D peloridis",1
"s__Campylobacter_D sp000816245",1
"s__Campylobacter_D sp002738235",2
"s__Campylobacter_D sp003627915",1
"s__Campylobacter_D sp004323845",2
"s__Campylobacter_D sp004378855",1
"s__Campylobacter_D sp005406205",1
"s__Campylobacter_D sp005406215",1
"s__Campylobacter_D sp005406225",1
"s__Campylobacter_D sp006176135",9
"s__Campylobacter_D sp006864365",1
"s__Campylobacter_D sp006864455",1
"s__Campylobacter_D sp006864535",2
"s__Campylobacter_D sp900539255",1
"s__Campylobacter_D subantarcticus",2
"s__Campylobacter_D troglodytis",1
"s__Campylobacter_D upsaliensis",7
"s__Campylobacter_D volucris",4
