species,count
"s__Collinsella aerofaciens",2
"s__Collinsella aerofaciens_A",1
"s__Collinsella aerofaciens_E",1
"s__Collinsella aerofaciens_F",15
"s__Collinsella aerofaciens_G",4
"s__Collinsella aerofaciens_H",3
"s__Collinsella aerofaciens_I",3
"s__Collinsella bouchesdurhonensis",5
"s__Collinsella ihuae",2
"s__Collinsella intestinalis",3
"s__Collinsella phocaeensis",1
"s__Collinsella provencensis",1
"s__Collinsella stercoris",1
"s__Collinsella tanakaei",3
"s__Collinsella vaginalis",2
"s__Collinsella sp000434535",1
"s__Collinsella sp000763055",1
"s__Collinsella sp002232035",31
"s__Collinsella sp002305035",1
"s__Collinsella sp002391315",12
"s__Collinsella sp002437815",1
"s__Collinsella sp003436275",12
"s__Collinsella sp003437035",5
"s__Collinsella sp003438495",1
"s__Collinsella sp003439125",12
"s__Collinsella sp003458415",4
"s__Collinsella sp003459245",9
"s__Collinsella sp003459505",2
"s__Collinsella sp003462685",2
"s__Collinsella sp003465825",9
"s__Collinsella sp003466125",16
"s__Collinsella sp003469185",2
"s__Collinsella sp003469205",12
"s__Collinsella sp003470665",1
"s__Collinsella sp003471585",3
"s__Collinsella sp003479805",2
"s__Collinsella sp003487125",2
"s__Collinsella sp900539035",2
"s__Collinsella sp900539735",1
"s__Collinsella sp900540095",2
"s__Collinsella sp900540845",1
"s__Collinsella sp900540855",3
"s__Collinsella sp900540875",1
"s__Collinsella sp900540895",1
"s__Collinsella sp900540905",1
"s__Collinsella sp900540935",1
"s__Collinsella sp900540945",6
"s__Collinsella sp900540995",1
"s__Collinsella sp900541015",2
"s__Collinsella sp900541025",1
"s__Collinsella sp900541035",1
"s__Collinsella sp900541045",1
"s__Collinsella sp900541055",4
"s__Collinsella sp900541135",1
"s__Collinsella sp900541145",15
"s__Collinsella sp900541175",6
"s__Collinsella sp900541195",1
"s__Collinsella sp900541205",1
"s__Collinsella sp900541235",3
"s__Collinsella sp900541245",3
"s__Collinsella sp900541285",2
"s__Collinsella sp900541475",2
"s__Collinsella sp900541645",3
"s__Collinsella sp900541665",1
"s__Collinsella sp900541675",2
"s__Collinsella sp900541685",1
"s__Collinsella sp900541695",1
"s__Collinsella sp900541715",1
"s__Collinsella sp900541725",1
"s__Collinsella sp900541745",7
"s__Collinsella sp900541785",1
"s__Collinsella sp900541855",4
"s__Collinsella sp900541875",1
"s__Collinsella sp900541885",1
"s__Collinsella sp900542085",2
"s__Collinsella sp900542125",1
"s__Collinsella sp900542155",1
"s__Collinsella sp900542235",1
"s__Collinsella sp900542275",1
"s__Collinsella sp900542305",1
"s__Collinsella sp900542315",1
"s__Collinsella sp900542325",1
"s__Collinsella sp900542555",1
"s__Collinsella sp900542635",1
"s__Collinsella sp900542825",1
"s__Collinsella sp900542905",1
"s__Collinsella sp900542945",1
"s__Collinsella sp900542965",1
"s__Collinsella sp900543025",1
"s__Collinsella sp900543515",2
"s__Collinsella sp900543605",1
"s__Collinsella sp900543615",1
"s__Collinsella sp900543845",1
"s__Collinsella sp900544065",1
"s__Collinsella sp900544095",1
"s__Collinsella sp900544115",5
"s__Collinsella sp900544135",1
"s__Collinsella sp900544205",1
"s__Collinsella sp900544225",1
"s__Collinsella sp900544235",3
"s__Collinsella sp900544425",1
"s__Collinsella sp900544645",6
"s__Collinsella sp900544725",1
"s__Collinsella sp900544755",1
"s__Collinsella sp900544845",1
"s__Collinsella sp900544865",1
"s__Collinsella sp900544875",1
"s__Collinsella sp900544995",1
"s__Collinsella sp900545055",1
"s__Collinsella sp900545075",1
"s__Collinsella sp900545165",1
"s__Collinsella sp900545445",1
"s__Collinsella sp900545555",1
"s__Collinsella sp900545605",1
"s__Collinsella sp900545615",1
"s__Collinsella sp900545745",1
"s__Collinsella sp900545875",1
"s__Collinsella sp900545905",1
"s__Collinsella sp900545995",1
"s__Collinsella sp900546105",1
"s__Collinsella sp900546115",5
"s__Collinsella sp900546455",1
"s__Collinsella sp900546825",1
"s__Collinsella sp900547025",1
"s__Collinsella sp900547125",1
"s__Collinsella sp900547285",1
"s__Collinsella sp900547345",2
"s__Collinsella sp900547505",1
"s__Collinsella sp900547765",1
"s__Collinsella sp900547805",1
"s__Collinsella sp900547835",1
"s__Collinsella sp900548075",1
"s__Collinsella sp900548255",1
"s__Collinsella sp900548265",1
"s__Collinsella sp900548365",1
"s__Collinsella sp900548515",1
"s__Collinsella sp900548565",1
"s__Collinsella sp900548815",1
"s__Collinsella sp900548935",1
"s__Collinsella sp900549025",3
"s__Collinsella sp900549085",1
"s__Collinsella sp900549185",1
"s__Collinsella sp900549195",1
"s__Collinsella sp900549245",1
"s__Collinsella sp900549275",1
"s__Collinsella sp900549335",1
"s__Collinsella sp900549345",1
"s__Collinsella sp900549355",1
"s__Collinsella sp900549455",2
"s__Collinsella sp900549535",1
"s__Collinsella sp900549555",1
"s__Collinsella sp900549655",1
"s__Collinsella sp900550185",1
"s__Collinsella sp900550205",1
"s__Collinsella sp900550355",1
"s__Collinsella sp900550415",1
"s__Collinsella sp900550595",1
"s__Collinsella sp900550785",1
"s__Collinsella sp900550825",1
"s__Collinsella sp900550835",2
"s__Collinsella sp900551015",1
"s__Collinsella sp900551195",3
"s__Collinsella sp900551205",3
"s__Collinsella sp900551365",1
"s__Collinsella sp900551555",1
"s__Collinsella sp900551605",1
"s__Collinsella sp900551625",1
"s__Collinsella sp900551635",1
"s__Collinsella sp900551655",1
"s__Collinsella sp900551665",1
"s__Collinsella sp900551815",1
"s__Collinsella sp900551975",1
"s__Collinsella sp900552145",1
"s__Collinsella sp900552155",1
"s__Collinsella sp900552295",1
"s__Collinsella sp900552345",1
"s__Collinsella sp900552425",1
"s__Collinsella sp900552705",1
"s__Collinsella sp900552735",1
"s__Collinsella sp900552755",1
"s__Collinsella sp900552875",1
"s__Collinsella sp900552995",1
"s__Collinsella sp900553165",1
"s__Collinsella sp900553215",1
"s__Collinsella sp900553345",1
"s__Collinsella sp900553415",1
"s__Collinsella sp900553705",1
"s__Collinsella sp900553935",1
"s__Collinsella sp900554135",1
"s__Collinsella sp900554155",1
"s__Collinsella sp900554255",1
"s__Collinsella sp900554325",1
"s__Collinsella sp900554455",1
"s__Collinsella sp900554465",1
"s__Collinsella sp900554495",1
"s__Collinsella sp900554585",1
"s__Collinsella sp900554595",1
"s__Collinsella sp900554645",1
"s__Collinsella sp900554655",1
"s__Collinsella sp900554665",1
"s__Collinsella sp900554905",1
"s__Collinsella sp900554985",1
"s__Collinsella sp900555225",2
"s__Collinsella sp900555355",1
"s__Collinsella sp900555515",1
"s__Collinsella sp900555555",1
"s__Collinsella sp900555585",1
"s__Collinsella sp900555745",1
"s__Collinsella sp900555765",1
"s__Collinsella sp900555815",1
"s__Collinsella sp900555955",1
"s__Collinsella sp900556205",1
"s__Collinsella sp900556285",1
"s__Collinsella sp900556365",1
"s__Collinsella sp900556415",1
"s__Collinsella sp900556445",1
"s__Collinsella sp900556495",1
"s__Collinsella sp900556515",1
"s__Collinsella sp900556605",1
"s__Collinsella sp900556675",1
"s__Collinsella sp900556705",1
"s__Collinsella sp900557455",1
"s__Collinsella sp900557505",1
