species,count
"s__Cryobacterium arcticum",1
"s__Cryobacterium arcticum_A",1
"s__Cryobacterium aureum",1
"s__Cryobacterium flavum",6
"s__Cryobacterium levicorallinum",8
"s__Cryobacterium luteum",3
"s__Cryobacterium psychrophilum",2
"s__Cryobacterium psychrotolerans",4
"s__Cryobacterium roopkundense",1
"s__Cryobacterium zongtaii",11
"s__Cryobacterium sp000738085",1
"s__Cryobacterium sp002404115",1
"s__Cryobacterium sp002929495",2
"s__Cryobacterium sp002929505",1
"s__Cryobacterium sp002929535",1
"s__Cryobacterium sp002929555",1
"s__Cryobacterium sp002929805",2
"s__Cryobacterium sp002929825",4
"s__Cryobacterium sp002929845",15
"s__Cryobacterium sp003602235",1
"s__Cryobacterium sp003611035",1
"s__Cryobacterium sp004210215",1
"s__Cryobacterium sp004402215",1
"s__Cryobacterium sp004402235",7
"s__Cryobacterium sp004402375",2
"s__Cryobacterium sp004402485",1
"s__Cryobacterium sp004402495",2
"s__Cryobacterium sp004402535",1
"s__Cryobacterium sp004402595",6
"s__Cryobacterium sp004402695",1
"s__Cryobacterium sp004402785",1
"s__Cryobacterium sp004403065",1
"s__Cryobacterium sp004403185",1
"s__Cryobacterium sp004403305",1
"s__Cryobacterium sp004403395",1
"s__Cryobacterium sp004403465",2
"s__Cryobacterium sp004403515",1
"s__Cryobacterium sp004403945",1
"s__Cryobacterium sp004403985",2
"s__Cryobacterium sp004404055",1
