species,count
"s__Curtobacterium ammoniigenes",1
"s__Curtobacterium citreum",3
"s__Curtobacterium flaccumfaciens",30
"s__Curtobacterium flaccumfaciens_A",5
"s__Curtobacterium flaccumfaciens_B",1
"s__Curtobacterium luteum",1
"s__Curtobacterium oceanosedimentum",3
"s__Curtobacterium pusillum",2
"s__Curtobacterium sp000333315",1
"s__Curtobacterium sp000333375",1
"s__Curtobacterium sp000772085",1
"s__Curtobacterium sp001422205",1
"s__Curtobacterium sp001424385",2
"s__Curtobacterium sp001705035",3
"s__Curtobacterium sp001742745",1
"s__Curtobacterium sp001806325",4
"s__Curtobacterium sp001864835",1
"s__Curtobacterium sp001864895",4
"s__Curtobacterium sp001865015",1
"s__Curtobacterium sp001865065",1
"s__Curtobacterium sp002412165",1
"s__Curtobacterium sp003224335",8
"s__Curtobacterium sp003234085",6
"s__Curtobacterium sp003234115",1
"s__Curtobacterium sp003234175",1
"s__Curtobacterium sp003234185",1
"s__Curtobacterium sp003234265",2
"s__Curtobacterium sp003234365",17
"s__Curtobacterium sp003234565",8
"s__Curtobacterium sp003234795",1
"s__Curtobacterium sp003234855",1
"s__Curtobacterium sp003752025",1
"s__Curtobacterium sp003755065",2
"s__Curtobacterium sp003762905",3
"s__Curtobacterium sp003989515",1
"s__Curtobacterium sp900086645",1
"s__Curtobacterium sp900101675",1
