species,count
"s__Lactobacillus acetotolerans",21
"s__Lactobacillus acidophilus",37
"s__Lactobacillus amylolyticus",6
"s__Lactobacillus amylovorus",18
"s__Lactobacillus apis",5
"s__Lactobacillus bombicola",11
"s__Lactobacillus crispatus",98
"s__Lactobacillus delbrueckii",69
"s__Lactobacillus delbrueckii_A",2
"s__Lactobacillus delbrueckii_B",1
"s__Lactobacillus equicursoris",4
"s__Lactobacillus gallinarum",10
"s__Lactobacillus gasseri",23
"s__Lactobacillus gigeriorum",2
"s__Lactobacillus hamsteri",2
"s__Lactobacillus helsingborgensis",4
"s__Lactobacillus helveticus",58
"s__Lactobacillus hominis",2
"s__Lactobacillus iners",21
"s__Lactobacillus intestinalis",3
"s__Lactobacillus jensenii",10
"s__Lactobacillus jensenii_A",10
"s__Lactobacillus johnsonii",43
"s__Lactobacillus kalixensis",1
"s__Lactobacillus kefiranofaciens",7
"s__Lactobacillus kimbladii",1
"s__Lactobacillus kitasatonis",2
"s__Lactobacillus kullabergensis",3
"s__Lactobacillus melliventris",4
"s__Lactobacillus panisapium",1
"s__Lactobacillus paragasseri",18
"s__Lactobacillus pasteurii",3
"s__Lactobacillus psittaci",2
"s__Lactobacillus rodentium",1
"s__Lactobacillus taiwanensis",26
"s__Lactobacillus ultunensis",2
"s__Lactobacillus sp000760615",1
"s__Lactobacillus sp002417825",1
"s__Lactobacillus sp002418055",3
"s__Lactobacillus sp002911475",3
"s__Lactobacillus sp003692965",4
