species,count
"s__Phocaeicola abscessus",2
"s__Phocaeicola barnesiae",5
"s__Phocaeicola coprocola",3
"s__Phocaeicola coprophilus",7
"s__Phocaeicola dorei",41
"s__Phocaeicola ilei",1
"s__Phocaeicola massiliensis",5
"s__Phocaeicola mediterraneensis",2
"s__Phocaeicola paurosaccharolyticus",2
"s__Phocaeicola plebeius",7
"s__Phocaeicola plebeius_A",16
"s__Phocaeicola plebeius_B",1
"s__Phocaeicola salanitronis",1
"s__Phocaeicola sartorii",3
"s__Phocaeicola vulgatus",100
"s__Phocaeicola sp000432735",2
"s__Phocaeicola sp000434735",2
"s__Phocaeicola sp000436795",2
"s__Phocaeicola sp002161565",6
"s__Phocaeicola sp002161765",3
"s__Phocaeicola sp002315285",1
"s__Phocaeicola sp002493165",3
"s__Phocaeicola sp900066445",1
"s__Phocaeicola sp900066455",2
"s__Phocaeicola sp900540105",1
"s__Phocaeicola sp900541515",1
"s__Phocaeicola sp900542985",1
"s__Phocaeicola sp900544075",1
"s__Phocaeicola sp900544675",1
"s__Phocaeicola sp900546095",1
"s__Phocaeicola sp900546355",1
"s__Phocaeicola sp900546645",1
"s__Phocaeicola sp900551065",1
"s__Phocaeicola sp900551445",1
"s__Phocaeicola sp900551645",1
"s__Phocaeicola sp900552075",1
"s__Phocaeicola sp900552645",1
"s__Phocaeicola sp900553185",1
"s__Phocaeicola sp900553715",2
"s__Phocaeicola sp900554435",4
"s__Phocaeicola sp900556845",1
"s__Phocaeicola sp900557085",1
