species,count
"s__Prevotella albensis",2
"s__Prevotella amnii",5
"s__Prevotella aurantiaca",1
"s__Prevotella baroniae",3
"s__Prevotella bergensis",1
"s__Prevotella bivia",8
"s__Prevotella brevis",2
"s__Prevotella bryantii",9
"s__Prevotella buccae",5
"s__Prevotella buccalis",2
"s__Prevotella colorans",1
"s__Prevotella conceptionensis",3
"s__Prevotella copri",27
"s__Prevotella copri_A",4
"s__Prevotella corporis",3
"s__Prevotella dentasini",1
"s__Prevotella denticola",7
"s__Prevotella disiens",6
"s__Prevotella enoeca",2
"s__Prevotella falsenii",1
"s__Prevotella fusca",2
"s__Prevotella histicola",3
"s__Prevotella ihumii",1
"s__Prevotella intermedia",33
"s__Prevotella jejuni",4
"s__Prevotella lascolaii",4
"s__Prevotella loescheii",4
"s__Prevotella maculosa",3
"s__Prevotella marshii",2
"s__Prevotella melaninogenica",5
"s__Prevotella melaninogenica_A",1
"s__Prevotella micans",3
"s__Prevotella multiformis",1
"s__Prevotella multisaccharivorax",2
"s__Prevotella nanceiensis",2
"s__Prevotella nigrescens",5
"s__Prevotella oralis",5
"s__Prevotella oris",8
"s__Prevotella oryzae",1
"s__Prevotella oulorum",4
"s__Prevotella pallens",3
"s__Prevotella paludivivens",2
"s__Prevotella pleuritidis",2
"s__Prevotella ruminicola",6
"s__Prevotella ruminicola_A",1
"s__Prevotella ruminicola_B",1
"s__Prevotella ruminicola_C",2
"s__Prevotella saccharolytica",2
"s__Prevotella salivae",2
"s__Prevotella scopos",3
"s__Prevotella seregens",3
"s__Prevotella shahii",2
"s__Prevotella stercorea",4
"s__Prevotella timonensis",4
"s__Prevotella timonensis_A",3
"s__Prevotella veroralis",3
"s__Prevotella sp000163055",1
"s__Prevotella sp000257925",1
"s__Prevotella sp000424185",1
"s__Prevotella sp000431975",2
"s__Prevotella sp000433175",2
"s__Prevotella sp000434515",6
"s__Prevotella sp000434975",8
"s__Prevotella sp000435635",2
"s__Prevotella sp000436035",2
"s__Prevotella sp000436595",3
"s__Prevotella sp000436695",2
"s__Prevotella sp000436915",2
"s__Prevotella sp000467895",1
"s__Prevotella sp000479005",3
"s__Prevotella sp000599605",1
"s__Prevotella sp000619825",1
"s__Prevotella sp000688375",1
"s__Prevotella sp000702825",2
"s__Prevotella sp000758925",1
"s__Prevotella sp000834015",9
"s__Prevotella sp001275135",4
"s__Prevotella sp001552765",1
"s__Prevotella sp001553265",2
"s__Prevotella sp002251245",1
"s__Prevotella sp002251295",11
"s__Prevotella sp002251365",4
"s__Prevotella sp002251385",7
"s__Prevotella sp002251435",1
"s__Prevotella sp002265625",2
"s__Prevotella sp002297965",2
"s__Prevotella sp002298545",1
"s__Prevotella sp002298815",2
"s__Prevotella sp002299275",1
"s__Prevotella sp002299635",2
