species,count
"s__RF16 sp002308195",1
"s__RF16 sp002308815",1
"s__RF16 sp002309255",1
"s__RF16 sp002309835",1
"s__RF16 sp002310195",2
"s__RF16 sp002315745",1
"s__RF16 sp002317295",1
"s__RF16 sp002351925",1
"s__RF16 sp002352705",2
"s__RF16 sp002354055",2
"s__RF16 sp002368645",3
"s__RF16 sp002369075",1
"s__RF16 sp002371785",2
"s__RF16 sp002372135",2
"s__RF16 sp002373505",1
"s__RF16 sp002387325",2
"s__RF16 sp002392745",1
"s__RF16 sp002394335",4
"s__RF16 sp002394395",1
"s__RF16 sp002395805",1
"s__RF16 sp002440265",3
"s__RF16 sp002449665",5
"s__RF16 sp002452095",7
"s__RF16 sp002477945",2
"s__RF16 sp002479035",2
"s__RF16 sp900316005",1
"s__RF16 sp900316845",3
"s__RF16 sp900317345",1
"s__RF16 sp900317745",5
"s__RF16 sp900317885",2
"s__RF16 sp900318245",1
"s__RF16 sp900319005",2
"s__RF16 sp900319025",3
"s__RF16 sp900319035",1
"s__RF16 sp900319105",1
"s__RF16 sp900319645",1
"s__RF16 sp900319995",1
"s__RF16 sp900320865",2
"s__RF16 sp900321005",1
"s__RF16 sp900321605",2
"s__RF16 sp900321775",1
"s__RF16 sp900542355",1
"s__RF16 sp900556095",1
