species,count
"s__Staphylococcus agnetis",26
"s__Staphylococcus argensis",1
"s__Staphylococcus argenteus",139
"s__Staphylococcus arlettae",24
"s__Staphylococcus aureus",10497
"s__Staphylococcus auricularis",5
"s__Staphylococcus capitis",82
"s__Staphylococcus caprae",13
"s__Staphylococcus carnosus",7
"s__Staphylococcus chromogenes",96
"s__Staphylococcus coagulans",7
"s__Staphylococcus cohnii",30
"s__Staphylococcus condimenti",8
"s__Staphylococcus cornubiensis",1
"s__Staphylococcus croceilyticus",2
"s__Staphylococcus delphini",19
"s__Staphylococcus devriesei",9
"s__Staphylococcus devriesei_A",1
"s__Staphylococcus edaphicus",1
"s__Staphylococcus epidermidis",615
"s__Staphylococcus equorum",40
"s__Staphylococcus equorum_A",3
"s__Staphylococcus felis",29
"s__Staphylococcus fleurettii",2
"s__Staphylococcus gallinarum",23
"s__Staphylococcus haemolyticus",264
"s__Staphylococcus haemolyticus_A",5
"s__Staphylococcus hominis",98
"s__Staphylococcus hyicus",6
"s__Staphylococcus intermedius",8
"s__Staphylococcus kloosii",5
"s__Staphylococcus lugdunensis",57
"s__Staphylococcus lutrae",2
"s__Staphylococcus massiliensis",3
"s__Staphylococcus microti",3
"s__Staphylococcus muscae",3
"s__Staphylococcus nepalensis",9
"s__Staphylococcus pasteuri_A",16
"s__Staphylococcus petrasii",7
"s__Staphylococcus petrasii_B",2
"s__Staphylococcus pettenkoferi",8
"s__Staphylococcus piscifermentans_A",2
"s__Staphylococcus pseudintermedius",218
"s__Staphylococcus rostri",1
"s__Staphylococcus saccharolyticus",9
"s__Staphylococcus saprophyticus",87
"s__Staphylococcus saprophyticus_A",1
"s__Staphylococcus saprophyticus_B",2
"s__Staphylococcus schweitzeri",8
"s__Staphylococcus simiae",3
"s__Staphylococcus simulans",74
"s__Staphylococcus simulans_A",2
"s__Staphylococcus simulans_B",2
"s__Staphylococcus succinus",22
"s__Staphylococcus urealyticus",24
"s__Staphylococcus warneri",43
"s__Staphylococcus warneri_A",18
"s__Staphylococcus xylosus",35
"s__Staphylococcus xylosus_A",9
"s__Staphylococcus xylosus_B",5
"s__Staphylococcus xylosus_C",5
"s__Staphylococcus sp001431205",1
"s__Staphylococcus sp003718735",1
