species,count
"s__Streptomyces abyssalis",2
"s__Streptomyces achromogenes",1
"s__Streptomyces acidiphilus",5
"s__Streptomyces acidiscabies",6
"s__Streptomyces actuosus",1
"s__Streptomyces afghaniensis",1
"s__Streptomyces africanus",1
"s__Streptomyces agglomeratus",5
"s__Streptomyces aidingensis",1
"s__Streptomyces albidochromogenes",1
"s__Streptomyces albidoflavus",66
"s__Streptomyces albireticuli",1
"s__Streptomyces albireticuli_B",1
"s__Streptomyces alboflavus",5
"s__Streptomyces albolongus",1
"s__Streptomyces alboniger",2
"s__Streptomyces alboverticillatus",1
"s__Streptomyces albovinaceus",9
"s__Streptomyces albulus",6
"s__Streptomyces albulus_A",1
"s__Streptomyces albus",12
"s__Streptomyces albus_E",1
"s__Streptomyces albus_F",3
"s__Streptomyces alfalfae",6
"s__Streptomyces ambofaciens",2
"s__Streptomyces amritsarensis",4
"s__Streptomyces angustmyceticus",1
"s__Streptomyces antibioticus",1
"s__Streptomyces antibioticus_B",3
"s__Streptomyces antimycoticus",2
"s__Streptomyces antioxidans",1
"s__Streptomyces anulatus",3
"s__Streptomyces anulatus_B",19
"s__Streptomyces armeniacus",1
"s__Streptomyces atratus_A",1
"s__Streptomyces atratus_B",1
"s__Streptomyces atratus_C",1
"s__Streptomyces atriruber",1
"s__Streptomyces atroolivaceus",1
"s__Streptomyces aurantiacus",1
"s__Streptomyces aurantiacus_A",1
"s__Streptomyces aureocirculatus",2
"s__Streptomyces aureus_A",1
"s__Streptomyces aureus_B",1
"s__Streptomyces avermitilis",8
"s__Streptomyces avicenniae",1
"s__Streptomyces azureus",1
"s__Streptomyces bacillaris",19
"s__Streptomyces barkulensis",1
"s__Streptomyces bicolor",2
"s__Streptomyces bikiniensis",6
"s__Streptomyces bobili",1
"s__Streptomyces bottropensis",2
"s__Streptomyces bungoensis",1
"s__Streptomyces caatingaensis",1
"s__Streptomyces cacaoi",4
"s__Streptomyces caelestis",3
"s__Streptomyces caeruleatus",1
"s__Streptomyces caesius",1
"s__Streptomyces californicus",27
"s__Streptomyces calvus",2
"s__Streptomyces canus",3
"s__Streptomyces canus_C",1
"s__Streptomyces capitiformicae",1
"s__Streptomyces carpinensis",1
"s__Streptomyces castelarensis",3
"s__Streptomyces catenulae",1
"s__Streptomyces cellostaticus",1
"s__Streptomyces celluloflavus",3
"s__Streptomyces cellulosae",1
"s__Streptomyces chartreusis",3
"s__Streptomyces chartreusis_B",5
"s__Streptomyces chattanoogensis",2
"s__Streptomyces chilikensis",1
"s__Streptomyces chrestomyceticus",3
"s__Streptomyces cinnabarinus",1
"s__Streptomyces cinnamoneus",2
"s__Streptomyces clavuligerus",6
"s__Streptomyces coelicoflavus",2
"s__Streptomyces coelicolor_A",14
"s__Streptomyces collinus",2
"s__Streptomyces corchorusii",4
"s__Streptomyces curacoi",2
"s__Streptomyces cyaneofuscatus",7
"s__Streptomyces cyaneogriseus",1
"s__Streptomyces cyaneus",1
"s__Streptomyces davaonensis",1
"s__Streptomyces decoyicus",2
"s__Streptomyces dengpaensis",2
"s__Streptomyces diastaticus",9
"s__Streptomyces diastatochromogenes",5
"s__Streptomyces durhamensis",1
"s__Streptomyces erythrochromogenes",2
"s__Streptomyces eurocidicus",1
"s__Streptomyces europaeiscabiei",3
"s__Streptomyces exfoliatus",1
"s__Streptomyces exfoliatus_B",1
"s__Streptomyces filamentosus",19
"s__Streptomyces fimicarius",8
