species,count
"s__Terracidiphilus gabretensis",1
"s__Terracidiphilus gaucii",1
"s__Terracidiphilus savannae",1
"s__Terracidiphilus sp000620725",1
"s__Terracidiphilus sp002307235",1
"s__Terracidiphilus sp002314435",1
"s__Terracidiphilus sp003133425",3
"s__Terracidiphilus sp003134815",1
"s__Terracidiphilus sp003134855",1
"s__Terracidiphilus sp003138365",18
"s__Terracidiphilus sp003138515",5
"s__Terracidiphilus sp003139795",5
"s__Terracidiphilus sp003140705",1
"s__Terracidiphilus sp003140785",3
"s__Terracidiphilus sp003142015",2
"s__Terracidiphilus sp003142935",2
"s__Terracidiphilus sp003151435",2
"s__Terracidiphilus sp003151985",2
"s__Terracidiphilus sp003156235",1
"s__Terracidiphilus sp003156495",1
"s__Terracidiphilus sp003159355",7
"s__Terracidiphilus sp003161045",8
"s__Terracidiphilus sp003162495",1
"s__Terracidiphilus sp003164635",1
"s__Terracidiphilus sp003165005",2
"s__Terracidiphilus sp003165075",1
"s__Terracidiphilus sp003165095",1
"s__Terracidiphilus sp003165935",1
"s__Terracidiphilus sp003166055",3
"s__Terracidiphilus sp003167305",1
"s__Terracidiphilus sp003170825",8
"s__Terracidiphilus gabretensis",1
"s__Terracidiphilus gaucii",1
"s__Terracidiphilus savannae",1
"s__Terracidiphilus sp000620725",1
"s__Terracidiphilus sp002307235",1
"s__Terracidiphilus sp002314435",1
"s__Terracidiphilus sp003133425",3
"s__Terracidiphilus sp003134815",1
"s__Terracidiphilus sp003134855",1
"s__Terracidiphilus sp003138365",18
"s__Terracidiphilus sp003138515",5
"s__Terracidiphilus sp003139795",5
"s__Terracidiphilus sp003140705",1
"s__Terracidiphilus sp003140785",3
"s__Terracidiphilus sp003142015",2
"s__Terracidiphilus sp003142935",2
"s__Terracidiphilus sp003151435",2
"s__Terracidiphilus sp003151985",2
"s__Terracidiphilus sp003156235",1
"s__Terracidiphilus sp003156495",1
"s__Terracidiphilus sp003159355",7
"s__Terracidiphilus sp003161045",8
"s__Terracidiphilus sp003162495",1
"s__Terracidiphilus sp003164635",1
"s__Terracidiphilus sp003165005",2
"s__Terracidiphilus sp003165075",1
"s__Terracidiphilus sp003165095",1
"s__Terracidiphilus sp003165935",1
"s__Terracidiphilus sp003166055",3
"s__Terracidiphilus sp003167305",1
"s__Terracidiphilus sp003170825",8
"s__Terracidiphilus sp003171315",1
