family,count
f__Azobacteroidaceae,4
f__Bacteroidaceae,1795
f__Bacteroidaceae_A,3
f__Barnesiellaceae,20
f__Coprobacteraceae,13
f__Dysgonomonadaceae,137
f__Lentimicrobiaceae,14
f__Marinifilaceae,74
f__Marinilabiliaceae,35
f__Muribaculaceae,379
f__Paludibacteraceae,122
f__Porphyromonadaceae,145
f__Prolixibacteraceae,38
f__Rikenellaceae,108
f__Salinivirgaceae,15
f__Tannerellaceae,193
f__Williamwhitmaniaceae,1
f__4484-276,3
f__4572-128,1
f__B39-G9,1
f__BBW3,14
f__BM520,2
f__BM523,1
f__CG2-30-32-10,1
f__DTU049,12
f__F082,42
f__FEN-979,2
f__GCA-2711565,2
f__GCA-2748055,3
f__GWA2-32-17,3
f__GWE2-29-8,2
f__GWF2-33-38,6
f__GWF2-35-48,4
f__GWF2-38-335,3
f__ML635J-15,10
f__NBLH01,1
f__P3,70
f__PUMT01,29
f__PWNQ01,4
f__PXBB01,2
f__SM23-62,2
f__TTA-H9,12
f__UBA10428,2
f__UBA11471,5
f__UBA12077,10
f__UBA12170,1
f__UBA12481,3
f__UBA1402,9
f__UBA1556,6
f__UBA1715,2
f__UBA3663,5
f__UBA3824,1
f__UBA4181,2
f__UBA5072,2
f__UBA5342,2
f__UBA6013,1
f__UBA6680,1
f__UBA7332,1
f__UBA7960,96
f__UBA932,283
f__VadinHA17,58
f__W3P20-009,1
f__WCHB1-69,21
f__ZOR0009,2
