family,count
f__Alcanivoracaceae,100
f__Cellvibrionaceae,77
f__Endozoicomonadaceae,15
f__Halieaceae,83
f__Halomonadaceae,270
f__Ketobacteraceae,24
f__Litoricolaceae,19
f__Marinomonadaceae,43
f__Moraxellaceae,5293
f__Nitrincolaceae,62
f__Oleiphilaceae,172
f__Porticoccaceae,86
f__Pseudohongiellaceae,90
f__Pseudomonadaceae,9264
f__Saccharospirillaceae,15
f__Saccharospirillaceae_A,57
f__Spongiibacteraceae,24
f__Zooshikellaceae,4
f__DSM-100316,1
f__DSM-25080,1
f__HTCC2089,99
f__IMCC2047,1
f__M0112,1
f__UBA3067,3
f__UBA5518,5
f__UBA5862,2
f__UBA6940,4
f__UBA7239,2
f__UBA7434,9
