accession,contig_count,gc_percentage,genome_size
MAG-GUT422.fa,13,58.81277110147195,2109450
MAG-GUT33885.fa,43,43.2390243823959,2486261
MAG-GUT11468.fa,70,49.49074601691245,1754920
MAG-GUT52138.fa,84,52.52748557100254,2224167
MAG-GUT47186.fa,21,38.63073131998466,1997402
MAG-GUT56566.fa,77,55.34174057395468,2725825
MAG-GUT13285.fa,62,45.037729220597356,2470764
MAG-GUT15427.fa,74,54.42595171383991,2145708
MAG-GUT36756.fa,80,29.51961098670497,1924253
MAG-GUT45814.fa,346,36.430028069046884,2219883
MAG-GUT65341.fa,146,46.13287400402185,1594789
MAG-GUT465.fa,13,59.04049616612285,2310194
MAG-GUT46987.fa,118,38.73593312250858,1973519
MAG-GUT88654.fa,346,29.241196103486583,2121589
MAG-GUT49051.fa,150,41.18752588823822,1909651
MAG-GUT36922.fa,52,41.83911883129047,2695965
MAG-GUT1001.fa,24,63.348911608242574,2546923
MAG-GUT43457.fa,78,37.59220067078971,2734389
MAG-GUT24105.fa,70,36.273557121869864,2477011
MAG-GUT9303.fa,73,43.09449538351105,2220627
MAG-GUT17782.fa,114,37.871997801744435,2554753
MAG-GUT69378.fa,122,38.85776784056696,1982224
MAG-GUT17212.fa,236,61.75895814438259,2394804
MAG-GUT49101.fa,30,37.480528891003736,2765636
MAG-GUT13424.fa,102,45.29178377322248,2487407
MAG-GUT7099.fa,9,38.5916515046751,2102846
MAG-GUT44488.fa,50,43.151201642445955,2484100
MAG-GUT7066.fa,34,32.104307133401065,1624050
MAG-GUT67367.fa,52,46.478237550654605,1858913
MAG-GUT1384.fa,38,46.6963602008425,2918705
MAG-GUT26441.fa,45,53.82790112802953,1731249
MAG-GUT52236.fa,37,51.84178090392801,2129705
MAG-GUT1892.fa,12,37.29756748915525,2860830
MAG-GUT3710.fa,76,54.580396382255145,2084503
MAG-GUT38093.fa,70,49.49634568302753,2767275
MAG-GUT5727.fa,71,53.047412293561536,1974741
MAG-GUT48971.fa,50,37.69415064788188,2687990
MAG-GUT75577.fa,260,60.99587847671699,2100437
MAG-GUT36027.fa,73,54.92772455428124,2354119
MAG-GUT12082.fa,34,56.70158139960114,2056343
MAG-GUT50872.fa,54,46.87560548800576,1636077
MAG-GUT1000.fa,157,60.10378862169492,2403539
MAG-GUT12391.fa,196,43.69948208794288,2280503
MAG-GUT68475.fa,55,62.68074935540358,2124973
MAG-GUT90167.fa,127,37.79443164242456,2718755
MAG-GUT6290.fa,22,63.46350706167277,2523269
