user_genome,classification,fastani_reference,fastani_reference_radius,fastani_taxonomy,fastani_ani,fastani_af,closest_placement_reference,closest_placement_radius,closest_placement_taxonomy,closest_placement_ani,closest_placement_af,pplacer_taxonomy,classification_method,note,"other_related_references(genome_id,species_name,radius,ANI,AF)",msa_percent,translation_table,red_value,warnings,domain,phylum,class,order,family,genus,species
RUG001,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__RUG001;s__RUG001 sp900314575,GCA_900314575.1,95,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__RUG001;s__RUG001 sp900314575,100,0.99,GCA_900314575.1,95,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__RUG001;s__RUG001 sp900314575,100,0.99,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__;s__,taxonomic classification defined by topology and ANI,topological placement and ANI have congruent species assignments,,93.91,11,,,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__RUG001,s__RUG001 sp900314575
RUG002,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__UBA1367;s__UBA1367 sp900314645,GCA_900314645.1,95,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__UBA1367;s__UBA1367 sp900314645,100,1,GCA_900314645.1,95,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__UBA1367;s__UBA1367 sp900314645,100,1,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__UBA1367;s__,taxonomic classification defined by topology and ANI,topological placement and ANI have congruent species assignments,"GCA_002449555.1, s__UBA1367 sp002449555, 95.0, 85.75, 0.75; GCA_002305995.1, s__UBA1367 sp002305995, 95.0, 79.74, 0.34",92.74,11,,,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__UBA1367,s__UBA1367 sp900314645
RUG003,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900315455,GCA_900315455.1,95,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900315455,100,1,GCA_900315455.1,95,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900315455,100,1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__,taxonomic classification defined by topology and ANI,topological placement and ANI have congruent species assignments,"GCA_900317305.1, s__Prevotella sp900317305, 95.0, 82.8, 0.61; GCA_900320585.1, s__Prevotella sp900320585, 95.0, 82.67, 0.66; GCA_900318915.1, s__Prevotella sp900318915, 95.0, 78.81, 0.33; GCA_900315745.1, s__Prevotella sp900315745, 95.0, 78.7, 0.27; GCA_900315075.1, s__Prevotella sp900315075, 95.0, 78.35, 0.25; GCA_002369515.1, s__Prevotella sp002369515, 95.0, 78.04, 0.25; GCA_900316685.1, s__Prevotella sp900316685, 95.0, 78.02, 0.28; GCA_900313615.1, s__Prevotella sp900313615, 95.0, 77.85, 0.22; GCA_002350805.1, s__Prevotella sp002350805, 95.0, 77.71, 0.24; GCA_002353205.1, s__Prevotella sp002353205, 95.0, 77.7, 0.25; GCA_900315565.1, s__Prevotella sp900315565, 95.0, 77.5, 0.24; GCA_900316985.1, s__Prevotella sp900316985, 95.0, 77.29, 0.18; GCA_900314655.1, s__Prevotella sp900314655, 95.0, 77.2, 0.18; GCA_002353525.1, s__Prevotella sp002353525, 95.0, 77.2, 0.2; GCA_900314935.1, s__Prevotella sp900314935, 95.0, 77.11, 0.18; GCA_002394385.1, s__Prevotella sp002394385, 95.0, 77.08, 0.2; GCA_900313805.1, s__Prevotella sp900313805, 95.0, 77.07, 0.25; GCF_000163055.2, s__Prevotella sp000163055, 95.0, 77.06, 0.02; GCA_900556275.1, s__Prevotella sp900556275, 95.0, 77.0, 0.18; GCA_900553595.1, s__Prevotella sp900553595, 95.0, 76.97, 0.14; GCA_900557405.1, s__Prevotella sp900557405, 95.0, 76.95, 0.12; GCA_900316285.1, s__Prevotella sp900316285, 95.0, 76.95, 0.17; GCF_003977605.1, s__Prevotella sp003977605, 95.0, 76.94, 0.06; GCF_002251245.1, s__Prevotella sp002251245, 95.0, 76.92, 0.12; GCA_900554695.1, s__Prevotella sp900554695, 95.0, 76.9, 0.12; GCA_900318625.1, s__Prevotella sp900318625, 95.0, 76.89, 0.19; GCA_000434975.1, s__Prevotella sp000434975, 95.0, 76.89, 0.13; GCA_004557285.1, s__Prevotella sp004557285, 95.0, 76.89, 0.22; GCA_900554045.1, s__Prevotella sp900554045, 95.0, 76.88, 0.11; GCA_900544495.1, s__Prevotella sp900544495, 95.0, 76.85, 0.1; GCA_002353555.1, s__Prevotella sp002353555, 95.0, 76.84, 0.19; GCA_900553965.1, s__Prevotella sp900553965, 95.0, 76.83, 0.14; GCA_900314915.1, s__Prevotella sp900314915, 95.0, 76.82, 0.17; GCA_900315095.1, s__Prevotella sp900315095, 95.0, 76.78, 0.15; GCF_000834015.1, s__Prevotella sp000834015, 95.0, 76.75, 0.12; GCA_002395135.1, s__Prevotella sp002395135, 95.0, 76.75, 0.14; GCA_900321425.1, s__Prevotella sp900321425, 95.0, 76.73, 0.13; GCF_000613405.1, s__Prevotella enoeca, 95.0, 76.72, 0.05; GCA_002314055.1, s__Prevotella sp002314055, 95.0, 76.72, 0.08; GCA_002298545.1, s__Prevotella sp002298545, 95.0, 76.71, 0.07; GCA_002490315.1, s__Prevotella sp002490315, 95.0, 76.7, 0.16; GCF_000235885.1, s__Prevotella stercorea, 95.0, 76.69, 0.11; GCF_900113305.1, s__Prevotella sp900113305, 95.0, 76.68, 0.11; GCA_900547005.1, s__Prevotella sp900547005, 95.0, 76.68, 0.1; GCA_900320845.1, s__Prevotella sp900320845, 95.0, 76.67, 0.14; GCF_002933775.1, s__Prevotella sp002933775, 95.0, 76.67, 0.06; GCA_900319895.1, s__Prevotella sp900319895, 95.0, 76.66, 0.12; GCA_900549175.1, s__Prevotella sp900549175, 95.0, 76.66, 0.15; GCA_002305505.1, s__Prevotella sp002305505, 95.0, 76.66, 0.13; GCA_900540415.1, s__Prevotella sp900540415, 95.0, 76.65, 0.13; GCA_900316295.1, s__Prevotella sp900316295, 95.0, 76.63, 0.13; GCF_001275135.1, s__Prevotella sp001275135, 95.0, 76.62, 0.07; GCA_000433175.1, s__Prevotella sp000433175, 95.0, 76.62, 0.11; GCF_002265625.1, s__Prevotella sp002265625, 95.0, 76.58, 0.12; GCF_002251435.1, s__Prevotella sp002251435, 95.0, 76.57, 0.08; GCA_002371715.1, s__Prevotella sp002371715, 95.0, 76.56, 0.15; GCA_900550365.1, s__Prevotella sp900550365, 95.0, 76.56, 0.08; GCA_900315545.1, s__Prevotella sp900315545, 95.0, 76.54, 0.09; GCF_003043945.1, s__Prevotella sp003043945, 95.0, 76.53, 0.09; GCA_900552515.1, s__Prevotella sp900552515, 95.0, 76.52, 0.13; GCA_900553155.1, s__Prevotella sp900553155, 95.0, 76.51, 0.15; GCA_900315775.1, s__Prevotella sp900315775, 95.0, 76.5, 0.13; GCA_900314715.1, s__Prevotella sp900314715, 95.0, 76.49, 0.06; GCF_900199655.1, s__Prevotella sp900199655, 95.0, 76.49, 0.13; GCA_000436695.1, s__Prevotella sp000436695, 95.0, 76.48, 0.07; GCA_900546575.1, s__Prevotella sp900546575, 95.0, 76.47, 0.12; GCA_002449845.1, s__Prevotella sp002449845, 95.0, 76.45, 0.08; GCF_000379965.1, s__Prevotella nanceiensis, 95.0, 76.42, 0.02; GCA_900543975.1, s__Prevotella sp900543975, 95.0, 76.42, 0.13; GCA_900554545.1, s__Prevotella sp900554545, 95.0, 76.4, 0.12; GCF_000146675.1, s__Prevotella marshii, 95.0, 76.39, 0.07; GCA_900552675.1, s__Prevotella sp900552675, 95.0, 76.38, 0.1; GCA_900550035.1, s__Prevotella sp900550035, 95.0, 76.37, 0.1; GCF_001553265.1, s__Prevotella sp001553265, 95.0, 76.36, 0.05; GCF_000762405.1, s__Prevotella timonensis_A, 95.0, 76.34, 0.04; GCA_900545525.1, s__Prevotella sp900545525, 95.0, 76.32, 0.1; GCA_002361535.1, s__Prevotella sp002361535, 95.0, 76.29, 0.13; GCF_000614205.1, s__Prevotella saccharolytica, 95.0, 76.29, 0.05; GCF_000613725.1, s__Prevotella pleuritidis, 95.0, 76.28, 0.05; GCA_002372575.1, s__Prevotella sp002372575, 95.0, 76.26, 0.11; GCF_000613445.1, s__Prevotella shahii, 95.0, 76.25, 0.05; GCA_900553465.1, s__Prevotella sp900553465, 95.0, 76.24, 0.07; GCF_000479005.1, s__Prevotella sp000479005, 95.0, 76.23, 0.07; GCA_900316015.1, s__Prevotella sp900316015, 95.0, 76.17, 0.06; GCF_000312305.1, s__Prevotella conceptionensis, 95.0, 76.16, 0.05; GCF_000585355.1, s__Prevotella oryzae, 95.0, 76.15, 0.03; GCF_900079775.1, s__Prevotella lascolaii, 95.0, 76.13, 0.07; GCF_000378085.1, s__Prevotella loescheii, 95.0, 76.08, 0.05; GCF_000455445.1, s__Prevotella timonensis, 95.0, 76.07, 0.05; GCF_900290275.1, s__Prevotella sp900290275, 95.0, 76.06, 0.06; GCA_900548745.1, s__Prevotella sp900548745, 95.0, 76.06, 0.08; GCF_000177075.1, s__Prevotella buccalis, 95.0, 76.06, 0.08; GCA_000436595.1, s__Prevotella sp000436595, 95.0, 76.0, 0.08; GCA_900551055.1, s__Prevotella sp900551055, 95.0, 75.99, 0.11; GCF_000185145.2, s__Prevotella oralis, 95.0, 75.97, 0.05; GCA_900547085.1, s__Prevotella sp900547085, 95.0, 75.95, 0.07; GCA_900556825.1, s__Prevotella sp900556825, 95.0, 75.94, 0.05; GCA_002316005.1, s__Prevotella sp002316005, 95.0, 75.9, 0.04; GCA_002299275.1, s__Prevotella sp002299275, 95.0, 75.72, 0.06",82.5,11,,Genome has more than 14.2% of markers with multiple hits,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__Prevotella sp900315455
RUG004,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__UBA7741;s__UBA7741 sp900314495,GCA_900314495.1,95,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__UBA7741;s__UBA7741 sp900314495,100,0.99,GCA_900314495.1,95,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__UBA7741;s__UBA7741 sp900314495,100,0.99,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__;s__,taxonomic classification defined by topology and ANI,topological placement and ANI have congruent species assignments,,93.59,11,,,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__UBA7741,s__UBA7741 sp900314495
RUG005,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister sp900314595,GCA_900314595.1,95,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister sp900314595,100,0.99,GCA_900314595.1,95,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister sp900314595,100,0.99,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__,taxonomic classification defined by topology and ANI,topological placement and ANI have congruent species assignments,"GCA_002471975.1, s__Dialister sp002471975, 95.0, 87.77, 0.73; GCF_000242435.1, s__Dialister succinatiphilus, 95.0, 80.03, 0.41; GCA_900557365.1, s__Dialister sp900557365, 95.0, 79.49, 0.36; GCA_002320515.1, s__Dialister sp002320515, 95.0, 79.4, 0.42; GCA_900538805.1, s__Dialister sp900538805, 95.0, 79.39, 0.39; GCA_900541605.1, s__Dialister sp900541605, 95.0, 79.37, 0.38; GCF_900343095.1, s__Dialister sp900343095, 95.0, 78.6, 0.24; GCA_002297935.1, s__Dialister sp002297935, 95.0, 78.54, 0.23; GCA_900543165.1, s__Dialister sp900543165, 95.0, 78.49, 0.21; GCA_000434475.1, s__Dialister sp000434475, 95.0, 78.45, 0.21; GCA_900543455.1, s__Dialister sp900543455, 95.0, 78.32, 0.21; GCA_900541485.1, s__Dialister sp900541485, 95.0, 78.3, 0.14; GCF_000160055.1, s__Dialister invisus, 95.0, 78.13, 0.13; GCA_002439665.1, s__Dialister sp002439665, 95.0, 78.06, 0.22; GCA_900547785.1, s__Dialister sp900547785, 95.0, 78.0, 0.15; GCF_001553355.1, s__Dialister sp001553355, 95.0, 77.9, 0.09; GCA_900545785.1, s__Dialister sp900545785, 95.0, 77.75, 0.16; GCA_900555245.1, s__Dialister sp900555245, 95.0, 76.55, 0.07",93.08,11,,,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Veillonellales,f__Dialisteraceae,g__Dialister,s__Dialister sp900314595
RUG006,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA1066;s__UBA1066 sp900314565,GCA_900314565.1,95,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA1066;s__UBA1066 sp900314565,100,0.99,GCA_900314565.1,95,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA1066;s__UBA1066 sp900314565,100,0.99,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA1066;s__,taxonomic classification defined by topology and ANI,topological placement and ANI have congruent species assignments,"GCA_900313955.1, s__UBA1066 sp900313955, 95.0, 78.8, 0.06; GCA_900317515.1, s__UBA1066 sp900317515, 95.0, 78.67, 0.23; GCA_003446335.1, s__UBA1066 sp003446335, 95.0, 77.88, 0.19; GCA_002350625.1, s__UBA1066 sp002350625, 95.0, 77.84, 0.1; GCA_900315305.1, s__UBA1066 sp900315305, 95.0, 77.76, 0.12; GCA_002369495.1, s__UBA1066 sp002369495, 95.0, 77.47, 0.18; GCA_900319795.1, s__UBA1066 sp900319795, 95.0, 77.06, 0.11; GCA_900320575.1, s__UBA1066 sp900320575, 95.0, 76.99, 0.16; GCA_900317045.1, s__UBA1066 sp900317045, 95.0, 76.74, 0.1; GCA_002371465.1, s__UBA1066 sp002371465, 95.0, 76.51, 0.06; GCA_002316215.1, s__UBA1066 sp002316215, 95.0, 76.42, 0.06; GCA_900320615.1, s__UBA1066 sp900320615, 95.0, 76.32, 0.11",91.87,11,,,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__UBA1066,s__UBA1066 sp900314565
RUG007,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus;s__Ruminococcus flavefaciens_E,GCF_000621845.1,95,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus;s__Ruminococcus flavefaciens_E,97.83,0.87,GCF_000621845.1,95,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus;s__Ruminococcus flavefaciens_E,97.83,0.87,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus;s__,taxonomic classification defined by topology and ANI,topological placement and ANI have congruent species assignments,"GCF_900119075.1, s__Ruminococcus flavefaciens_Q, 95.0, 94.52, 0.85; GCF_000526795.1, s__Ruminococcus flavefaciens_D, 95.0, 86.96, 0.79; GCA_004554385.1, s__Ruminococcus flavefaciens_T, 95.0, 85.56, 0.74; GCF_900143025.1, s__Ruminococcus flavefaciens_I, 95.0, 82.85, 0.6; GCF_900116855.1, s__Ruminococcus flavefaciens_R, 95.0, 82.74, 0.59; GCA_004556875.1, s__Ruminococcus flavefaciens_S, 95.0, 82.67, 0.61; GCF_000518765.1, s__Ruminococcus flavefaciens, 95.0, 82.63, 0.6; GCF_000621785.1, s__Ruminococcus flavefaciens_C, 95.0, 82.53, 0.57; GCF_900108555.1, s__Ruminococcus flavefaciens_P, 95.0, 82.51, 0.62; GCA_002309635.1, s__Ruminococcus flavefaciens_J, 95.0, 82.42, 0.59; GCF_000571935.1, s__Ruminococcus flavefaciens_F, 95.0, 82.14, 0.58; GCF_000174895.1, s__Ruminococcus flavefaciens_A, 95.0, 80.52, 0.45; GCA_002310115.1, s__Ruminococcus flavefaciens_K, 95.0, 80.34, 0.33; GCA_900318825.1, s__Ruminococcus sp900318825, 95.0, 80.14, 0.44; GCF_900119535.1, s__Ruminococcus flavefaciens_H, 95.0, 79.95, 0.36; GCA_900315975.1, s__Ruminococcus sp900315975, 95.0, 79.79, 0.32; GCF_000701945.1, s__Ruminococcus flavefaciens_B, 95.0, 79.61, 0.35; GCA_900315755.1, s__Ruminococcus sp900315755, 95.0, 79.56, 0.37; GCA_002350065.1, s__Ruminococcus flavefaciens_N, 95.0, 79.52, 0.45; GCF_900109435.1, s__Ruminococcus flavefaciens_G, 95.0, 79.45, 0.36; GCA_001604035.1, s__Ruminococcus sp001604035, 95.0, 79.38, 0.33; GCA_002371825.1, s__Ruminococcus flavefaciens_L, 95.0, 79.33, 0.34; GCA_900321885.1, s__Ruminococcus sp900321885, 95.0, 79.04, 0.41; GCA_900540005.1, s__Ruminococcus sp900540005, 95.0, 79.01, 0.35; GCA_002348905.1, s__Ruminococcus flavefaciens_O, 95.0, 78.8, 0.25; GCA_002394695.1, s__Ruminococcus sp002394695, 95.0, 78.79, 0.31; GCA_002373775.1, s__Ruminococcus flavefaciens_M, 95.0, 78.75, 0.3; GCA_900319195.1, s__Ruminococcus sp900319195, 95.0, 78.39, 0.4; GCA_900545125.1, s__Ruminococcus sp900545125, 95.0, 77.97, 0.21; GCA_003488415.1, s__Ruminococcus sp003488415, 95.0, 77.85, 0.27; GCA_002414125.1, s__Ruminococcus sp002414125, 95.0, 77.64, 0.25; GCA_002438605.1, s__Ruminococcus sp002438605, 95.0, 77.51, 0.13; GCA_002362135.1, s__Ruminococcus sp002362135, 95.0, 77.14, 0.21; GCA_002362175.1, s__Ruminococcus sp002362175, 95.0, 76.86, 0.13; GCA_002389995.1, s__Ruminococcus sp002389995, 95.0, 76.63, 0.17",95.73,11,,,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Ruminococcus,s__Ruminococcus flavefaciens_E
RUG008,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E bromii_A,GCF_900101355.1,95,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E bromii_A,99.47,0.89,GCF_900101355.1,95,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E bromii_A,99.47,0.89,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__,taxonomic classification defined by topology and ANI,topological placement and ANI have congruent species assignments,"GCA_900543095.1, s__Ruminococcus_E sp900543095, 95.0, 80.63, 0.55; GCA_002491825.1, s__Ruminococcus_E sp002491825, 95.0, 79.11, 0.39; GCA_003521625.1, s__Ruminococcus_E sp003521625, 95.0, 79.06, 0.36; GCF_002834235.1, s__Ruminococcus_E bromii_B, 95.0, 78.97, 0.33; GCF_002834225.1, s__Ruminococcus_E bromii, 95.0, 78.76, 0.33; GCF_003438075.1, s__Ruminococcus_E sp003438075, 95.0, 78.73, 0.3; GCA_003526955.1, s__Ruminococcus_E sp003526955, 95.0, 78.62, 0.28; GCA_900315605.1, s__Ruminococcus_E sp900315605, 95.0, 78.55, 0.19; GCA_002493005.1, s__Ruminococcus_E sp002493005, 95.0, 78.37, 0.33; GCF_900100595.1, s__Ruminococcus_E sp900100595, 95.0, 78.17, 0.09; GCA_900315085.1, s__Ruminococcus_E sp900315085, 95.0, 78.1, 0.18; GCA_002493635.1, s__Ruminococcus_E sp002493635, 95.0, 78.1, 0.29; GCA_900318495.1, s__Ruminococcus_E sp900318495, 95.0, 77.87, 0.22; GCA_900314795.1, s__Ruminococcus_E sp900314795, 95.0, 77.87, 0.04; GCA_900315195.1, s__Ruminococcus_E sp900315195, 95.0, 77.77, 0.15; GCA_004560275.1, s__Ruminococcus_E sp004560275, 95.0, 77.77, 0.16; GCA_900319615.1, s__Ruminococcus_E sp900319615, 95.0, 77.64, 0.03; GCA_003520555.1, s__Ruminococcus_E sp003520555, 95.0, 77.44, 0.2; GCA_900313895.1, s__Ruminococcus_E sp900313895, 95.0, 77.36, 0.02; GCA_900319655.1, s__Ruminococcus_E sp900319655, 95.0, 77.34, 0.22; GCA_002350765.1, s__Ruminococcus_E sp002350765, 95.0, 77.33, 0.07; GCA_900315785.1, s__Ruminococcus_E sp900315785, 95.0, 77.29, 0.1; GCA_900316385.1, s__Ruminococcus_E sp900316385, 95.0, 77.25, 0.1; GCA_900316435.1, s__Ruminococcus_E sp900316435, 95.0, 77.24, 0.15; GCA_900316555.1, s__Ruminococcus_E sp900316555, 95.0, 77.18, 0.14; GCA_002353935.1, s__Ruminococcus_E sp002353935, 95.0, 77.14, 0.08; GCF_005601135.1, s__Ruminococcus_E sp900314705, 95.0, 77.11, 0.09; GCA_900318905.1, s__Ruminococcus_E sp900318905, 95.0, 76.93, 0.15; GCA_900317315.1, s__Ruminococcus_E sp900317315, 95.0, 76.91, 0.07; GCA_900313865.1, s__Ruminococcus_E sp900313865, 95.0, 76.81, 0.01; GCA_900317875.1, s__Ruminococcus_E sp900317875, 95.0, 76.55, 0.09; GCA_900316815.1, s__Ruminococcus_E sp900316815, 95.0, 76.49, 0.06; GCA_900317595.1, s__Ruminococcus_E sp900317595, 95.0, 76.48, 0.07; GCA_900320415.1, s__Ruminococcus_E sp900320415, 95.0, 76.1, 0.05; GCA_900315815.1, s__Ruminococcus_E sp900315815, 95.0, 76.03, 0.02; GCA_002394725.1, s__Ruminococcus_E sp002394725, 95.0, 75.81, 0.03; GCA_900320995.1, s__Ruminococcus_E sp900320995, 95.0, 75.7, 0.03; GCA_003499325.1, s__Ruminococcus_E sp003499325, 95.0, 75.7, 0.03",96.45,11,,,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__Ruminococcus_E,s__Ruminococcus_E bromii_A
RUG009,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-603;s__CAG-603 sp900314525,GCA_900314525.1,95,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-603;s__CAG-603 sp900314525,100,0.99,GCA_900314525.1,95,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-603;s__CAG-603 sp900314525,100,0.99,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-603;s__,taxonomic classification defined by topology and ANI,topological placement and ANI have congruent species assignments,"GCA_900321855.1, s__CAG-603 sp900321855, 95.0, 79.35, 0.29; GCA_900066105.1, s__CAG-603 sp900066105, 95.0, 78.83, 0.23; GCA_900315425.1, s__CAG-603 sp900315425, 95.0, 78.27, 0.16; GCF_900110975.1, s__CAG-603 sp900110975, 95.0, 78.21, 0.19; GCA_900314555.1, s__CAG-603 sp900314555, 95.0, 78.1, 0.22",91.39,11,,,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__CAG-603,s__CAG-603 sp900314525
RUG010,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__NK3B98;s__NK3B98 sp900314485,GCA_900314485.1,95,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__NK3B98;s__NK3B98 sp900314485,100,0.99,GCA_900314485.1,95,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__NK3B98;s__NK3B98 sp900314485,100,0.99,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__NK3B98;s__,taxonomic classification defined by topology and ANI,topological placement and ANI have congruent species assignments,"GCF_000421005.1, s__NK3B98 sp000421005, 95.0, 80.2, 0.5; GCA_003150485.1, s__NK3B98 sp003150485, 95.0, 78.44, 0.23; GCA_001941075.1, s__NK3B98 sp001941075, 95.0, 78.03, 0.23; GCA_900545815.1, s__NK3B98 sp900545815, 95.0, 77.3, 0.24",93.02,11,,,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__NK3B98,s__NK3B98 sp900314485
